Grade_SS,B,H,t,L,L/B,Eo,f_0.2,fu,n,fc_cyl,N_Test
1,160,160,2.88,480,3,202800,446.2,735.05,4.94,46.96,1768.8
1,160,160,2.88,480,3,202800,446.2,735.05,4.94,46.96,1913.8
1,160,160,3.9,480,3,197400,414.5,704.38,4.63,35.44,1955.4
1,160,160,3.9,480,3,197400,414.5,704.38,4.63,35.44,1896.5
1,160,160,4.8,480,3,197900,431.9,715.37,6.74,35.44,2151.5
1,160,160,4.8,480,3,197900,431.9,715.37,6.74,35.44,2141.3
1,160,160,2.88,480,3,202800,446.2,735.05,4.94,37.84,1724.6
1,160,160,2.88,480,3,202800,446.2,735.05,4.94,37.84,1780
1,160,160,2.88,480,3,202800,446.2,735.05,4.94,41.92,1689.7
1,160,160,2.88,480,3,202800,446.2,735.05,4.94,41.92,1765.1
1,160,160,3.9,480,3,197400,414.5,704.38,4.63,37.84,2007.1
1,160,160,3.9,480,3,197400,414.5,704.38,4.63,37.84,1947
1,160,160,4.8,480,3,197900,431.9,715.37,6.74,37.84,2215
1,160,160,4.8,480,3,197900,431.9,715.37,6.74,37.84,2196.8
17,100,100,2,300,3,202500,385,481,12.4,30,534
17,100,100,2,300,3,202500,385,481,12.4,53,687
17,100,100,2,300,3,202500,385,481,12.4,74,836
17,100,100,5,300,3,180000,458,632,3.7,30,1410
17,100,100,5,300,3,180000,458,632,3.7,53,1488
17,100,100,5,300,3,180000,458,632,3.7,74,1559
17,150,150,6,300,2,194000,497,762,3,46.6,2768
17,150,150,6,300,2,194000,497,762,3,61.9,2972
17,150,150,6,300,2,194000,497,762,3,83.5,3020
17,150,150,3,300,2,189000,448,699,4,46.6,1382
17,150,150,3,300,2,189000,448,699,4,61.9,1620
17,150,150,3,300,2,189000,448,699,4,83.5,1851
17,200,200,4,300,1.5,200000,503,961,4,46.6,1627
17,200,200,4,300,1.5,200000,503,961,4,83.5,2180
17,160,160,3,300,1.88,208000,536,766,5,46.6,882
17,160,160,3,300,1.88,208000,536,766,5,61.9,1015
17,160,160,3,300,1.88,208000,536,766,5,83.5,1280
17,140,140,3,300,2.14,212000,486,736,6,46.6,1049
17,140,140,3,300,2.14,212000,486,736,6,61.9,1097
17,140,140,3,300,2.14,212000,486,736,6,83.5,1259
1,120,120,2.77,360,3,185000,286.7,789.6,6.7,63.4,923.4
1,120,120,2.77,360,3,185000,286.7,789.6,6.7,59.7,871.5
1,120,120,2.77,360,3,185000,286.7,789.6,6.7,57.3,848.5
1,120,120,2.77,360,3,185000,286.7,789.6,6.7,56.9,830
1,120,120,2.77,360,3,185000,286.7,789.6,6.7,58.6,857.1
1,120,120,2.77,360,3,185000,286.7,789.6,6.7,56.2,826.9
1,120,120,2.77,360,3,185000,286.7,789.6,6.7,55.3,831.1
1,200.7,97.1,3.96,600,2.99,207500,301.5,671.1,10,41.2,1422.9
1,200.2,98.5,3.96,600,3,207500,301.5,671.1,10,41.7,1350.2
1,200.7,97.9,3.96,600,2.99,207500,301.5,671.1,10,41,1388.7
1,200.2,98.9,3.96,600,3,207500,301.5,671.1,10,37.8,1291.8
18,150.5,150.5,5.83,450,2.99,194000,497,761,3,40,2768.1
18,150.6,150.6,5.83,450,2.99,194000,497,761,3,60,2972
18,150.5,150.5,5.84,450,2.99,194000,497,761,3,80,3019.9
18,150.5,150.5,2.78,450,2.99,189000,448,699,4,40,1381.5
18,150.5,150.5,2.78,450,2.99,189000,448,699,4,60,1620
18,150.6,150.6,2.78,450,2.99,189000,448,699,4,80,1851.3
18,197.1,109.5,4.06,600,3.04,200000,503,961,4,40,1627.2
18,197.6,109.6,4,600,3.04,200000,503,961,4,80,2180
18,160.5,81.3,2.92,480,2.99,208000,536,766,5,40,881.5
18,160.7,80.7,2.9,480,2.99,208000,536,766,5,60,1014.5
18,160.6,80.4,2.9,480,2.99,208000,536,766,5,80,1280.1
18,140.2,80.1,3.1,420,3,212000,486,736,6,40,1048.7
18,140.2,80.1,3.1,420,3,212000,486,736,6,60,1096.9
18,140.3,80,3.1,420,2.99,212000,486,736,6,80,1258.8
19,63.5,63.5,1.5,190.5,3,198000,470,735.36,3.5,30,276
19,63.5,63.5,1.5,190.5,3,198000,470,735.36,3.5,40,293
19,76.2,50.8,1.5,228.6,3,198000,470,735.36,3.5,30,242
19,76.2,50.8,1.5,228.6,3,198000,470,735.36,3.5,40,266
19,76.2,76.2,1.5,228.6,3,198000,470,735.36,3.5,30,391
19,76.2,76.2,1.5,228.6,3,198000,470,735.36,3.5,40,413
19,101.6,50.8,1.5,304.8,3,198000,470,735.36,3.5,30,330
19,101.6,50.8,1.5,304.8,3,198000,470,735.36,3.5,40,359
19,51,51,2.85,150,2.94,207900,440,743.83,8.2,21.5,363
19,101,101,5.05,300,2.97,202100,435,727.19,7,21.5,1360
19,101,101,2.85,300,2.97,195700,358,664.9,8.3,34.9,763
19,152,152,2.85,450,2.96,192600,268,585.89,6.8,34.9,1178
19,150.5,150.5,5.83,450,2.99,194000,497,737.45,3,46.6,2745
19,100,100,4.9,300,3,180000,458,682.85,3.7,53,1565
20,60,60,1,180,3,200000,258,409,,22.74,114
20,60,60,1,210,3.5,200000,258,409,,22.74,131
20,60,60,1,240,4,200000,258,409,,22.74,126
20,80,80,1,240,3,200000,258,409,,22.74,190
20,80,80,1,280,3.5,200000,258,409,,22.74,182
20,80,80,1,320,4,200000,258,409,,22.74,166
20,100,100,1,300,3,200000,258,409,,22.74,258
20,100,100,1,350,3.5,200000,258,409,,22.74,237
20,100,100,1,400,4,200000,258,409,,22.74,233
20,60,60,1,180,3,200000,258,409,,29.43,142
20,60,60,1,210,3.5,200000,258,409,,29.43,107
20,60,60,1,240,4,200000,258,409,,29.43,117
20,80,80,1,240,3,200000,258,409,,29.43,190
20,80,80,1,280,3.5,200000,258,409,,29.43,203
20,80,80,1,320,4,200000,258,409,,29.43,211
20,100,100,1,300,3,200000,258,409,,29.43,261
20,100,100,1,350,3.5,200000,258,409,,29.43,252
21,40.1,59.9,3.82,178.9,4.46,206000,479,492,6,42.6,477.5
21,40.1,59.8,3.8,179.5,4.48,206000,479,492,6,42.6,481
21,40.1,59.9,3.79,179.5,4.48,206000,479,492,6,80.9,531.8
21,40.1,59.8,3.82,179.1,4.47,206000,479,492,6,114.6,585.1
21,60.1,60.3,2.83,180.3,3,210000,449,463,6,42.6,484.2
21,60.1,60.2,2.83,179.7,2.99,210000,449,463,6,80.9,594.7
21,60.1,60.3,2.83,179.2,2.98,210000,449,463,6,114.6,712.2
21,59.9,80.1,3.71,239.7,4,210000,451,464,7,42.6,712.6
21,59.9,80.3,3.72,239.9,4.01,210000,451,464,7,80.9,878.6
21,59.8,80.2,3.72,240,4.01,210000,451,464,7,114.6,999.6
21,59.9,80.2,3.74,240.1,4.01,210000,451,464,7,114.6,976.6
21,40.2,99.7,1.94,299.9,7.46,200000,420,452,8,42.6,398.3
21,40.2,99.7,1.95,300,7.46,200000,420,452,8,80.9,534.6
21,40.2,99.7,1.95,300,7.46,200000,420,452,8,114.6,674.1
21,79.9,119.9,2.8,359.8,4.5,200000,381,443,8,42.6,870.8
21,79.9,120,2.81,359.9,4.5,200000,381,443,8,80.9,1255.2
21,79.9,120,2.81,359.9,4.5,200000,381,443,8,114.6,1610.3
1,60,120,4,360,6,195000,538,757.31,5,35.17,1261
1,60,120,5,360,6,200000,581,787.88,4,35.17,1632
1,80,120,4,360,4.5,196000,516,751.05,5,35.17,1362
1,80,120,5,360,4.5,200000,558,779.17,5,35.17,1732
1,120,120,4,360,3,203000,549,783.93,5,35.17,1815
1,120,120,5,360,3,203000,578,795.32,5,35.17,2275
1,120,120,6,360,3,203000,598,802.71,5,35.17,2854
1,100,100,3,400,4,202000,266,615,7.4,37,698
1,250,250,3,850,3.4,202000,266,615,7.4,37,2709
22,100,100,3,400,4,199000,511,716,7.5,37,1038.9
22,250,250,3,850,3.4,199000,511,716,7.5,37,3186.3
23,120,120,3.84,360,3,200000,581,747,6,43.8,1568
23,120,120,3.84,360,3,200000,581,747,6,43.8,1598
23,140,140,3.84,420,3,200000,581,747,6,38.9,1732
23,140,140,3.84,420,3,200000,581,747,6,38.9,1723
23,160,160,3.84,480,3,200000,581,747,6,43.8,2195
23,160,160,3.84,480,3,200000,581,747,6,43.8,2158
23,200,200,3.84,600,3,200000,581,747,6,44.7,2981
23,120,120,5.92,360,3,199420,535,724,5.45,43.8,2079
23,140,140,5.92,420,3,199420,535,724,5.45,38.9,2151
23,140,140,5.92,420,3,199420,535,724,5.45,38.9,2352
23,160,160,5.92,480,3,199420,535,724,5.45,44.7,2809
23,120,120,7.8,360,3,198640,542,736,5.4,43.8,2823
23,120,120,7.8,360,3,198640,542,736,5.4,43.8,2611
23,140,140,7.8,420,3,198640,542,736,5.4,43.8,3153
23,140,140,7.8,420,3,198640,542,736,5.4,43.8,3061
23,160,160,7.8,480,3,198640,542,736,5.4,43.8,3864
23,160,160,7.8,480,3,198640,542,736,5.4,43.8,3772
23,140,140,3.84,420,3,200000,581,747,6,52.4,2174
23,140,140,3.84,420,3,200000,581,747,6,52.4,1926
23,160,160,3.84,480,3,200000,581,747,6,52.4,2759
23,160,160,3.84,480,3,200000,581,747,6,52.4,2446
23,180,180,3.84,540,3,200000,581,747,6,52.4,2872
23,180,180,3.84,540,3,200000,581,747,6,52.4,2701
23,140,140,5.92,420,3,199420,535,724,5.45,54.8,2622
23,140,140,5.92,420,3,199420,535,724,5.45,54.8,2709
23,140,140,7.8,420,3,198640,542,736,5.4,52.4,3338
23,140,140,7.8,420,3,198640,542,736,5.4,52.4,3339
23,160,160,7.8,480,3,198640,542,736,5.4,54.8,3560
23,160,160,7.8,480,3,198640,542,736,5.4,54.8,3711
23,180,180,7.8,540,3,198640,542,736,5.4,52.4,4296
23,180,180,7.8,540,3,198640,542,736,5.4,52.4,4304
23,140,140,11.9,420,3,196040,535,732,6.1,52.4,5323
23,160,160,11.9,480,3,196040,535,732,6.1,52.4,5667
23,180,180,11.9,540,3,196040,535,732,6.1,52.4,6544
23,140,140,3.84,420,3,200000,581,747,6,64.9,1987
23,140,140,3.84,420,3,200000,581,747,6,64.9,1787
23,200,200,3.84,600,3,200000,581,747,6,64.9,3120
23,250,250,3.84,750,3,200000,581,747,6,64.9,4484
23,140,140,5.92,420,3,199420,535,724,5.45,64.9,2669
23,160,160,5.92,480,3,199420,535,724,5.45,64.9,3181
23,140,140,7.8,420,3,198640,542,736,5.4,64.9,3337
23,140,140,7.8,420,3,198640,542,736,5.4,64.9,3351
